Elements, Runs, Algorithm, Variant, Elapsed time(ms), Message
10, 1000000, quick sort, random, 0.000, "10 elements; 1000000 runs - Algorithm: quick sort, Variant: random, Elapsed time: 0.000208 ms"
10, 1000000, quick sort, reversed, 0.000, "10 elements; 1000000 runs - Algorithm: quick sort, Variant: reversed, Elapsed time: 0.000171 ms"
10, 1000000, quick sort, partially sorted 10%, 0.000, "10 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 10%, Elapsed time: 0.000144 ms"
10, 1000000, quick sort, partially sorted 30%, 0.000, "10 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 30%, Elapsed time: 0.000167 ms"
10, 1000000, quick sort, partially sorted 50%, 0.000, "10 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 50%, Elapsed time: 0.000165 ms"
10, 1000000, quick sort, partially sorted 70%, 0.000, "10 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 70%, Elapsed time: 0.000147 ms"
10, 1000000, quick sort, partially sorted 90%, 0.000, "10 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 90%, Elapsed time: 0.000166 ms"
50, 1000000, quick sort, random, 0.001, "50 elements; 1000000 runs - Algorithm: quick sort, Variant: random, Elapsed time: 0.001382 ms"
50, 1000000, quick sort, reversed, 0.002, "50 elements; 1000000 runs - Algorithm: quick sort, Variant: reversed, Elapsed time: 0.001536 ms"
50, 1000000, quick sort, partially sorted 10%, 0.001, "50 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 10%, Elapsed time: 0.001127 ms"
50, 1000000, quick sort, partially sorted 30%, 0.001, "50 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 30%, Elapsed time: 0.001112 ms"
50, 1000000, quick sort, partially sorted 50%, 0.001, "50 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 50%, Elapsed time: 0.001071 ms"
50, 1000000, quick sort, partially sorted 70%, 0.001, "50 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 70%, Elapsed time: 0.001093 ms"
50, 1000000, quick sort, partially sorted 90%, 0.001, "50 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 90%, Elapsed time: 0.001044 ms"
100, 1000000, quick sort, random, 0.003, "100 elements; 1000000 runs - Algorithm: quick sort, Variant: random, Elapsed time: 0.002870 ms"
100, 1000000, quick sort, reversed, 0.003, "100 elements; 1000000 runs - Algorithm: quick sort, Variant: reversed, Elapsed time: 0.003461 ms"
100, 1000000, quick sort, partially sorted 10%, 0.003, "100 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 10%, Elapsed time: 0.002613 ms"
100, 1000000, quick sort, partially sorted 30%, 0.003, "100 elements; 1000000 runs - Algorithm: quick sort, Variant: partially sorted 30%, Elapsed time: 0.002888 ms"
